label,cleaned_text
0,men follow men nobody tweets
0,bought mh bundle create task called mario star wars hit list make sure sound complete tasks
0,brand business putting logo products services photos real postage stamps cool
0,assumes taboo start email lol considering reply got started rofl pwn3d love internet
0,great stuff thanks 4 add bounce done roll cheers
0,cool cool going mine well xd starting planner writesflones3many
0,life style dumb twilight heartthrob robert pattinson cozies blonde cannes crush kristen stewart think
0,went see upi touchedthe movie surprisingit beautiful message extremely funny 2very specialworthy
0,learned power sincere selfless contribution experience lifes deepest joy true fulfillment tony robbins
0,got back seein drag hell pretty cool love samn raimi army darkness feel seen preview hbp
0,blogged hey girl photo bustcom prob find google fuck yeah neil gaiman
0,probably tink stopped following othersshe young terribly interesting anyway
0,somebody please get done soon tomorrow ok new aircraft seat design ideas shown via
0,bought cd today demi lovatos deluxe good recommend everyone eager go tomorrow buy new cd jb
0,think many times ridden earth around sun getting older honor like ridden
0,every time see jessica alba girl think honey know done better comes mind dark angel
0,know would say something 2 wanted 4 bro said rare commander lift
0,expense claims rules full 1all claims made mps within rules2all rules made mps3er4that itprivate eye
0,follow sms
0,spammers seem starting twitter spam accts w legit lking twits like yay joined twitter friends would stop talking
0,listening nas hard tell makes wish time machine go back visit carefree days could come along
0,set phone tell texting ringtones go goes message tweeter get text
0,ah russ listening loving wish could go back days love oldie films songs 2 build time machine
0,think need tweet people watching seemed like works hotel lobbys air conditioned
0,ew would little funny govenor present congrats love gov geeesh tough
0,qotd hey still told guys story english heritage fella lucky still alive
0,talk football lunchtimeanything worse happy everyone mothers day fuckintouchinsuckin hahhah
0,gray thundery outside think wait walk 2 recommend good inspirational podcast someone pretty please
0,oh eyes bad need glasses could get used tried
0,doubt go atl show positive itwish bring friends come chi
0,wooh totally tired today hehe bit work hehe anyways cut wood cookand dishes fmm fun
0,hope team cookie crew safe trip home guys amazing hope get rr time
0,remember going forward love regular features pretty places name cos hot lol
0,time comes working got long haul consistency
0,tnx glad like cover uploaded new song de ti let know think love dalila
0,love summer state mind yw rb via summer day mixwith thanksxx tha
0,actually giving early mark work big day meetings tomorrow ahead wednesdays project golive culmination
0,oh great job way manage get laptop makes look high tech thnx much
0,hey greg must fun pushpull thing going nearly lost buttons ok got go ttfn
0,min enhance isup skill sit back relax hafto something man
0,little sunburnt beach cares bad lauren wilson lauren geddes erin geddes love guys
0,thanks guys whole 8 followers lol r sweet think long islandvacationed onceloved
0,cont glad hear bein reloacted highland wildlife park hopefully suitible enviroment home
0,sorry blew tweeter today bad girls missing mr funny hope get time soon relax laugh
0,feel pain dated survived truth need sayin better side
0,happen ever stop fresh easy try chocolate flavored blacktea delish especially make milk tea yum
0,silly dance tryout friday find today made could wish luck pray please
0,yeah know need 4million home sugar daddy lol got lil side tracked apt hunting night hugs
0,starting doubt ddlovatos identity mean programs quit gibba gabba fool haha
0,lol make sure drawer spits shorts back youll need wen come 2 hawaii lol hot humid blah rock
0,hey cutie article wrote got offers major mags 2do followup means youi 2 hang lot
0,time year sun wakes loudly early reminds eager child ready start daybright cheerful relentless
0,late hv already crossed 2 dark side sticky toffee pud 4 years wish luck thks tip ccream
0,care hoomans call long late dinner food get cranky murder cranky right
0,know theories want 2 write write amelia
0,finally finished breaking dawn sooo good sad see end though going find food get work done rather later
0,wackness dopeness gran torino much better expected way eastwoods char age makes
0,tons research within variables models available dk yet instance best
0,get chance 2 talk 2 hand awesomest weekend miss safe well love
0,wishing sun derek awake could show burn cd computer made mix wait 2 bump
0,mind still london local time sleep workout fifa att beach day great day see soon
0,next would making penises works art course response would understand
0,heard ben stiller intvw w seacrest working new script movie called little fockers lol wait
0,future job career job thing hotel manager city adminastrator stage manager future jobs managers muahahha 33
0,thing remember visit oh crap think want go wm nowi pretending listen
0,yaaay happy likesss think gna blog black bettys spanks photos princess 3 hopeschooliscool
0,hey sorry missed tweet saturday always plenty fridays trip going well busy
0,rt dutch relatives 4 long r staying south africa small world
0,people actually know talk twitter reply back missed
0,okay torn apart work fresh coffee peanut butter toast try put back together less crap time
0,judicious replies pay attention others use soc media genuine professional rest works
0,thanks everyone suggestions keep asis time consider using staff cpd academy
0,good nite everyone best wishes finals students rest real world try 2 enjoy work week p
0,ca call nice flipside sorry could behave angel misplaced halo long ago
0,daiblackish greensisilkso silk blackish green colori hope like
0,mm mm mm fresh clean top head toes way corney barrows reach sound check xx
0,life definitely ups downs quite blessed well trying hard worry much appreciate
0,norway soooo happy love fairytale craaaaazzyy hot alexander rybak think love 3
0,hugs 4 kathy though moms heaven know smiling accomplishments people keep positive
0,thanking opening eyes left singing sooner later leave behind mr right
0,know cd heart watched dvd bonus listened 2 yetlove artsuch beautiful wonderful thang
0,hi well thanks still want 2 podcast iview rethinking podcast want get place 1st
